Scientific Name,Common Name,Plant Type,URL,Spread,Soil Type,Sun/Shade Conditions,Image,Summary,Soil Moisture,Lep Count,Supported Leps
Aquilegia canadensis �Canyon Vista�,Canyon Vista Columbine,perennial ,https://mtcubacenter.org/plants/canyon-vista-columbine/,2,"Chalk, Clay, Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Aquilegia_canadensis_Canyon_Vista_1.jpg,"A virtual powerhouse of blooms, Canyon Vista columbine ignites the spring garden with bright orange-red and yellow bicolor flowers held above attractive blue-green foliage. This compact columbine grows only 12-15? tall and is useful in the rock garden or perennial border. Canyon Vista columbine flourishes in sun to part shade and well drained soils, where it will happily re-seed itself. If flowers are removed before reseeding though, it will sporadically rebloom.  Hummingbirds and butterflies love to visit its flowers. For a blast of spring color, grow this columbine with Chrysogonum virginianum, Silene caroliniana, Phlox nivalis, Viola pedata, and Carex laxiculmis �Hobb�.","average, dry, moist ",11,Eosphoropteryx thyatyroides
Arisaema triphyllum,Jack-in-the-Pulpit,bulbcorm ,https://mtcubacenter.org/plants/jack-in-the-pulpit/,2,"Chalk, Loam, Sand","partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Arisaema_triphyllum_1-900x700.jpg,"In the lush growth of early spring, the emergence of Jack-in-the-pulpit is among the most anticipated events. Atop 1-2? tall green or mottled stems with trifoliate leaves is a narrow cup-like structure (spathe) colored green and white, streaked with purple. Inside the spathe hides a white cylinder-shaped floral structure (spadix) that develops into  bright orange-red fruit in late summer. Jack-in-the-pulpit is a coveted woodland garden plant adapted to partial shade to shade in average to moist, slightly acidic soils. It is best used in naturalistic gardens, combining well with Mertensia virginica, Matteuccia struthiopteris, Caulophyllum thalictroides, Polystichum acrostichoides and Osmundastrum cinnamomeum.","average, moist ",1,
Aronia arbutifolia,Red Chokeberry,shrub ,https://mtcubacenter.org/plants/red-chokeberry/,5,"Clay, Loam","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Aronia_arbutifolia_1_1.jpg,"Red chokeberry is a multi-stemmed, deciduous shrub with several seasons of interest and deserves greater use in the garden. It bears numerous clusters of attractive small, white, flowers in spring. In autumn it produces a fabulous display of glossy red fruit and brilliant red fall foliage. This colonizing shrub grows 5-10� feet tall and about 4� wide. It performs well in full sun to filtered shade and grows well in a variety of soil types. Aronia arbutifolia is also tolerant of wide ranges in soil moisture from wet to dry. Red chokeberry integrates nicely with Amelanchier obovalis, Chionanthus virginicus, Itea virginica, Lobelia cardinalis, Magnolia virginiana, and Ilex verticillata.","average, dry, moist, wet ",34,
Asarum canadense,Wild Ginger,perennial ,https://mtcubacenter.org/plants/wild-ginger/,2,"Loam, Sand","partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Asarum_canadense_1.jpg,"This deciduous perennial groundcover has unique velvety green, heart-shaped leaves and is a great addition to the spring woodland garden. Asarum canadense requires partial shade to full shade. It prefers moist, well-drained, acid soils, but is tolerant of some drought. Asarum canadense grows slowly but naturalizes nicely in the garden, becoming virtually maintenance free. Wild ginger�s distinctive bell-shaped maroon to brown flowers are hidden underneath the 6� tall foliage at the base of the plant. Wild ginger makes a good companion with Fothergilla gardenii, Uvularia sessilifolia, Jeffersonia diphylla, Maianthemum stellatum, Polystichum acrostichoides, Pachysandra procumbens and other woodland wildflowers.","average, dry, moist ",1,
Asclepias purpurascens,Purple Milkweed,perennial ,https://mtcubacenter.org/plants/purple-milkweed/,3,"Clay, Loam, Sand",full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Asclepias-purpurascens_38121-960x700.jpg,"Purple milkweed is an attractive and robust herbaceous perennial plant reaching 2-4� tall producing attractive terminal clusters of purple flowers from late spring into summer. It tends to be a clumping plant that spreads less aggressively than other milkweed species.  The large, oval, leathery foliage of purple milkweed also develops pinkish accents on the margins and along the leaf veins. This milkweed performs well in partial shade to full sun and prefers moist well-drained soils unlike some species that are more drought tolerant.  Purple milkweed is an excellent meadow companion that combines well with Gentiana clausa, Schizachyrium scoparium, Veronicastrum virginicum, and Liatris spicata.","average, moist ",12,"Danaus plexippus, Pyrrharctia isabella"
Asclepias tuberosa,Butterfly Weed,perennial ,https://mtcubacenter.org/plants/butterfly-weed/,2,"Clay, Loam, Sand",full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Asclepias_tuberosa_1.jpg,"Butterfly weed is a colorful, long-lived, drought tolerant perennial. Large clusters of bright orange to yellow-orange flowers top clumps of erect, hairy 1-2� tall stems with lance-shaped leaves. The seed pods, with their long silky hairs, can be used in dried flower arrangements. Butterfly weed prefers well-drained neutral to alkaline soils and full sun. It is one of many Asclepias species, all of which are required food for monarch butterfly larvae. It is also a great nectar plant for other butterflies and insects. Butterfly weed works well in a meadow or a perennial garden setting with Andropogon virginicus, Schizachyrium scoparium, Echinacea purpurea, Coreopsis verticillata, and Solidago odora.","average, dry ",12,"Danaus plexippus, Pyrrharctia isabella"
Asclepias verticillata,Whorled Milkweed,perennial ,https://mtcubacenter.org/plants/whorled-milkweed/,2,"Clay, Loam, Sand",full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Asclepias_verticillata_1.jpg,"Whorled milkweed is an attractive 1-2� tall perennial with clusters of 10-20 small, greenish-white flowers in the axils of the upper leaves.  It is distinguished from other milkweeds by its smooth, needle-like, whorled leaves arranged on a generally unbranched stem.  It prefers full sun and handles dry, infertile soil well.  It will grow in richer soils under more moist conditions but spreads quickly by rhizomes, so is best used where colonies are desired.  The seedpods are ornamental when they open to release seeds attached to numerous silky white hairs. Some companions for this early to mid-summer bloomer include Echinacea pallida, Rudbeckia fulgida, Euthamia caroliniana, and Andropogon virginicus.","average, moist ",12,"Danaus plexippus, Pyrrharctia isabella"
Baptisia alba var. alba,White Wild Indigo,perennial ,https://mtcubacenter.org/plants/white-wild-indigo/,3,"Clay, Loam, Sand",full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Baptisia_alba_2.jpg,"White wild indigo is an elegant, long-lived perennial that is very drought tolerant. It forms 3-4? tall multi-stemmed clumps and is a striking specimen for the flower border or naturalized in the meadow. The white terminal flower spikes of white wild indigo contrast beautifully with its strongly ascending smoky purple stems in early summer. It prefers full sun to partial shade and deep loamy, well-drained, alkaline soils, though it is tolerant of a lower pH range. White wild indigo combines well in the garden with Asclepias tuberosa, Schizachyrium scoparium, Andropogon virginicus, Packera anonyma, Phlox pilosa, and Penstemon digitalis.","average, dry ",19,"Automeris io, Antheraea polyphemus"
Baptisia australis,Blue False Indigo,perennial ,https://mtcubacenter.org/plants/blue-false-indigo/,4,"Loam, Sand","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2017/05/052714_9582-960x700.jpg,"Blue false indigo is a beautiful, long-lived, drought tolerant perennial with a robust habit and attractive foliage. In late May, its intensely saturated violet-blue flower spikes rise above 3-4� tall multi-stemmed plants with bluish-green foliage. Baptisia australis prefers full sun to part shade in moist, well-drained to dry, and low nutrient soils. However, in too much shade or high nutrient soils, this plant flops over. Blue false indigo makes a stunning statement in the perennial border or naturalized in meadows. Combine this plant with Schizachyrium scoparium, Andropogon virginicus, Packera anonyma, Phlox pilosa, Sisyrinchium angustifolium, and Penstemon digitalis.","average, dry ",19,"Automeris io, Antheraea polyphemus"
Campanula divaricata,Southern Harebell,perennial ,https://mtcubacenter.org/plants/southern-harebell/,2,"Chalk, Loam","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Campanula_divaricata_1.jpg,"Campanula divaricata is a showy, floriferous perennial worthy of wider garden use. Reaching 12-30� in height, southern harebell attracts attention in late summer with its small, pale blue-violet, bell-shaped flowers and narrow, lance-shaped leaves on open, branching stems. Southern harebell excels in acidic, dry to average, well-drained rocky soils in filtered shade to full sun and is drought-tolerant once established. It prefers sloping, open woodland situations and rocky outcrops.  Southern harebell grows well with other plants that require sharply-drained soil such as Carex appalachica, Saxifraga virginiensis, Aquilegia canadensis, Woodsia obtusa, Silene virginica, and Clematis ochroleuca.","average, dry ",1,
Cardamine diphylla,Two-Leaf Toothwort,perennial ,https://mtcubacenter.org/plants/two-leaf-toothwort/,1,"Chalk, Clay, Loam, Sand","partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Cardamine_diphylla_1.jpg,"Two-leaf toothwort produces handsome clumps of 3-lobed basal foliage very early in spring. These are followed by white, bell-shaped flowers arranged in small terminal clusters on a 6-12� tall stem bearing two opposite leaves. The leaves typically go dormant in early summer but may reappear in fall. Grow in rich, slightly acid woodland soil in shady conditions. Combine Cardamine diphylla with Trillium erectum, Iris cristata, and Dicentra eximia for a naturalistic display. It makes a nice groundcover under Cornus florida, Rhododendron periclymenoides and Hydrangea quercifolia.","average, moist ",2,
Carex plantaginea,Plantain-Leaf Sedge,grasssedge ,https://mtcubacenter.org/plants/plantain-leaf-sedge/,2,"Clay, Loam, Sand","partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Carex_plantaginea_1.jpg,"The bold foliage of Carex plantaginea makes it a welcome textural surprise in the woodland garden. Plantain-leaf sedge grows 6-12� tall in part to full shade given moist to average soil. However, it will tolerate that dry, difficult spot in your garden. The almost evergreen foliage of this delightful sedge is bright green with a wrinkled look and purple-brown subtle flowers in May. Plantain-leaf sedge is a clump forming perennial that grows quickly to form an attractive mass which can be divided regularly. This grass-like, tufted groundcover is striking when used as an edger, accent or massed with shade garden staples such as Phlox stolonifera, Tiarella cordifolia, Trillium stamineum, Heuchera americana, and Fothergilla gardenii.","average, dry, moist ",19,
Carya ovata,Shagbark Hickory,tree ,https://mtcubacenter.org/plants/shagbark-hickory/,70,"Chalk, Loam, Sand","filtered-shade, full-sun, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Carya_ovata_1-669x700.jpg,"Shagbark hickory has a commanding presence in the landscape with it size, clean summer foliage, brilliant yellow autumn color, and �shaggy� exfoliating bark. Maturing at 60-80� tall with an upright, irregular and coarse branching habit, shagbark hickory is adaptable to dry, rocky, and clay soils as well as seasonally moist soils. Impressive as a single specimen or mixed with companions such as Quercus alba and Betula alleghaniensis, it makes a wonderful addition to any garden. A wide range of companions can grow beneath this hickory including Viburnum acerifolium, Hydrangea quercifolia, Aesculus parviflora, Leucothoe fontanesiana, and Cornus florida.","average, dry, moist ",224,"Automeris io, Citheronia regalis, Papilio glaucus, Orgyia leucostigma, Schizura concinna, Actias luna, Lophocampa caryae, Hyalophora cecropia, Xanthotype sospeta"
Caulophyllum thalictroides,Blue Cohosh,perennial ,https://mtcubacenter.org/plants/blue-cohosh/,1,"Clay, Loam","partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Caulophyllum_thalictroides_1.jpg,"Blue cohosh is valued for its attractive bluish-green foliage and ornamental navy blue fruit rather than for its small greenish-yellow flowers. It is a refined plant, 1-3� tall with stems originating from a branching rhizome and thrice-compound foliage comprised of lobed leaflets. The flowers are followed by attractive indigo blueberry-like fruits arranged in clusters. These persist and provide early autumn interest even after the foliage has declined. Plant in rich, moist, well-drained acid to neutral soil in light shade. Suitable companions include Arisaema triphyllum, Asarum canadense, Tiarella cordifolia and Trillium erectum.","average, moist ",3,
Cercis canadensis,Redbud,tree ,https://mtcubacenter.org/plants/redbud/,35,"Chalk, Clay, Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Cercis_canadensis_2.jpg,"Cercis canadensis is a small ornamental tree that can be used in the landscape as a specimen or placed in naturalistic groups at the edge of the woodland. Clusters of rose-purple flowers line the stems before the foliage emerges in late April and persist for 2 to 3 weeks. The heart-shaped leaves are a cool blue-green and the bark may develop interesting orange streaks with age. Redbud typically develops a rounded habit as it matures. Grow this tree in partial shade to full sun and preferably in moist, well drained, neutral or slightly alkaline soils, but it is adaptable to dry conditions. For a delightful spring combination use redbud with Cornus florida, Rhododendron vaseyi, Neviusia alabamensis, and Mertensia virginica.","average, dry, moist ",22,"Automeris io, Papilio troilus"
Chelone glabra,Turtlehead,perennial ,https://mtcubacenter.org/plants/turtlehead/,3,"Chalk, Clay, Loam","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Chelone_glabra_1.jpg,"The white or blush pink snapdragon-like flowers of Chelone glabra add a marvelous late summer charm to the garden when few other plants are blooming.  Flowers are borne in upright, terminal spikes atop plants that ultimately reach 3-4� tall.  Turtlehead grows well in rich, moist soil that ranges from neutral to slightly acid and thrives in part shade to full sun as long as there is adequate moisture.  Turtlehead makes an excellent accent specimen in the naturalistic garden or along streams. The foliage is deer resistant and is an important food and breeding source for butterflies.  Conoclinium coelestinum, Lobelia siphilitica, Actaea racemosa, and Osmunda regalis make excellent garden companions.","average, moist, wet ",4,
Chelone lyonii �Hot Lips�,Hot Lips Lyon�s Turtlehead,perennial ,https://mtcubacenter.org/plants/hot-lips-lyons-turtlehead/,3,"Chalk, Clay, Loam","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Chelone_lyonii_Hot_Lips_3.jpg,"Rose-pink flowers on dense terminal spikes perk up the garden when this stunning herbaceous perennial begins to flower in late summer. Lustrous, deep green foliage adds another attractive feature during the growing season. �Hot Lips� Lyon�s turtlehead thrives in rich, moist soil and light shade; however, it is remarkably tolerant of dry conditions. It grows 2-3? tall and can be pinched in May to produce a bushier plant. An excellent choice for growing in containers, it is also deer resistant as well as a butterfly host plant. To spice up your late summer garden, combine it with Heuchera americana, Polystichum acrostichoides, Solidago rugosa �Fireworks�, Lobelia siphilitica, and Conoclinium coelestinum.","average, moist, wet ",4,
Chionanthus virginicus,Fringe Tree,"shrub, tree ",https://mtcubacenter.org/plants/fringe-tree/,20,"Clay, Loam","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Chionanthus_virginicus_1.jpg,"The sweetly scented and cascading white flower panicles of fringe tree offer a stunning contrast to the quiet green of its emerging spring leaves. The change of seasons brings golden yellow foliage colors that extend its garden interest into autumn. This multi-stemmed, deciduous shrub or small tree can be planted alone or as a conversation piece. It is tolerant of a wide range of conditions from moist to dry in partial shade to full sun as long as soils are neutral to acidic. Fringe tree is an excellent companion to Spigelia marilandica, Pachysandra procumbens, Philadelphus inodorus, Carpinus caroliniana, Clematis viorna, Scutellaria serrata, Rhododendron periclymenoides and Penstemon smallii.","average, dry, moist, wet ",11,"Citheronia regalis, Papilio glaucus, Sphinx kalmiae"
Chrysopsis mariana,Maryland Golden-Aster,perennial ,https://mtcubacenter.org/plants/maryland-golden-aster/,2,"Loam, Sand","full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Chrysopsis_mariana_1-900x700.jpg,"Maryland golden-aster is a beautiful perennial for the fall border as well as native meadow plantings. Clusters of bright yellow 1� daisy-like flowers bloom from mid-August to mid-October on tidily-clumping plants.  Maryland golden-aster grows 12-24� tall with rich green foliage.  It is very drought tolerant and is usually found in well-drained sandy soils. It is short-lived; therefore, it needs to reseed for longevity in the garden.  It needs full sun to partial shade.  Maryland golden-aster grows well in the flower border or the native meadow garden combined with Schizachyrium scoparium, Vernonia acaulis, Pityopsis graminifolia, Asclepias tuberosa, Symphyotrichum laeve var. laeve �Bluebird�, and Baptisia australis.","average, dry ",3,
Clematis glaucophylla,White-Leaf Leather-Flower,vine ,https://mtcubacenter.org/plants/white-leaf-leather-flower/,5,"Clay, Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Clematis_glaucophylla_1.jpg,"Clematis glaucophylla is a unique choice for its ornamental blue-green foliage and striking pink flowers.  This perennial vine is vigorous, has tendril-like terminal leaves and grows 12-15� tall.  The solitary, 1� purple-pink flowers are borne on 6� stems and as they mature, the tips recurve to reveal a pastel yellow throat.  Blooming from spring to fall, feathery seed heads mingle with new blooms to add ornamental interest.  White-leaf leather-flower grows best in a rich, moist, acid to neutral soil in part shade but will grow in full sun with adequate moisture.  Prune anytime from fall to early spring as this vine will bloom on new growth.  Use as a vertical accent or weave through sturdy shrubs such as Ilex glabra, Hamamelis virginiana and Rhododendron calendulaceum.","average, dry, moist ",10,Orgyia leucostigma
Clematis viorna,Leather Flower,vine ,https://mtcubacenter.org/plants/leather-flower/,5,"Clay, Loam, Sand","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Clematis_viorna_4.jpg,"This summer blooming herbaceous perennial vine bears many pale pink, blushed with yellow, urn-shaped flowers borne above attractive gray-green foliage. Filtered shade and moist to well-drained, neutral soils afford the best conditions for leather flower to thrive. Though slow growing as a young plant, once established this vine can be coaxed to weave through woody plants such as Rhododendron arborescens, Stewartia malacodendron, Fothergilla gardenii, Cornus florida, and Hamamelis virginiana. Additionally, the striking fuzzy seed heads of leather flower persist until early fall, extending the season of interest for leather flower.","average, moist ",10,Orgyia leucostigma
