Scientific Name,Common Name,Plant Type,URL,Soil PH,Sun/Shade Conditions,Image,Summary,Soil Moisture
Amelanchier x grandiflora ‘Autumn Brilliance’,Autumn Brilliance Serviceberry,"shrub, tree ",https://mtcubacenter.org/plants/autumn-brilliance-serviceberry/,"acidic, adaptable ","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Amelanchier_x_grandifolia_Autumn_Brilliance_1.jpg,"While serviceberries are beloved for their attractive spring flowers, Autumn Brilliance serviceberry enhances this reputation with outstanding orange to red autumn foliage. Typically grown as a multi-stemmed shrub or small tree to 20? tall, it develops an upright rounded habit with striking grayish to silver, smooth bark. Autumn Brilliance serviceberry performs best in acidic, well-drained soils in partial shade to sun. As an added bonus, it produces tasty violet to purple-colored fruit in mid-June similar in flavor to blueberries. It makes an excellent companion with Calycanthus floridus, Cornus florida, Kalmia latifolia, Rhododendron vaseyi, Viburnum dentatum, and Coreopsis verticillata.","average, dry, moist "
Symphyotrichum cordifolium ‘Avondale’,Avondale Blue Wood Aster,perennial ,https://mtcubacenter.org/plants/avondale-blue-wood-aster/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Symphyotrichum_cordifolium_Avondale_1.jpg,"At home in shade or sun, Avondale blue wood aster is a lovely early fall bloomer. Small, daisy-like flowers of pale blue with cheerful yellow centers completely envelop the plant. In the sun, it has an open upright habit and can reach 3’ tall when flowering. In the shade this aster has a more relaxed attitude, arching over to weave among neighboring plants. Symphyotrichum cordifolium ‘Avondale’ prefers average soil that is dry to moist but well drained and is drought tolerant once established. It is attractive to butterflies and is deer resistant. Use in mass plantings or on woodland edges combined with Conoclinium coelestinum, Heliopsis helianthoides var. scabra ‘Summer Nights’, Fothergilla major ‘Blue Shadow’, and Amsonia hubrichtii.","average, moist "
Geum fragarioides,Barren-Strawberry,perennial ,https://mtcubacenter.org/plants/barren-strawberry/,adaptable ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Geum_fragarioides_1.jpg,"Barren-strawberry is a carefree, semi-evergreen groundcover with strawberry-like dark green foliage and delightful yellow flowers in early to mid-spring. It grows 3-6” tall, tolerates partial to light shade and a wide variety of soil types as long as they are well-drained. Geum fragarioides spreads slowly by rhizomes to make an excellent non-aggressive groundcover. Despite its delicate appearance, this plant is tough and has foliage that remains clean and attractive throughout the growing season. Barren-strawberry makes a nice companion for Neviusia alabamensis, Rhododendron periclymenoides, Viburnum acerifolium, Eurybia divaricata, Uvularia grandiflora, Geranium maculatum and Carex digitalis.","average, moist "
Andropogon gerardii,Big Bluestem,grasssedge ,https://mtcubacenter.org/plants/big-bluestem/,adaptable ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Andropogon_gerardii_1-602x700.jpg,"Big bluestem is an iconic grass of American prairies and provides striking architecture in the meadow landscape. This robust, warm-season bunchgrass requires full sun but is quite pH adaptable. Flat, blue-green leaves create striking contrast in the landscape. Purplish, 3-part seed heads develop in the summer and early fall atop big bluestem, eventually reaching 4-8’ tall. The leaves remain of interest through the fall with a change to tawny and russet colors. Once established, an expansive fibrous root system makes this grass very drought tolerant. The rich colors of big bluestem are complemented by Schizachyrium scoparium, Rudbeckia hirta, Solidago species, Asclepias tuberosa, Symphyotrichum species, and Vernonia noveboracensis.","average, dry "
Eutrochium purpureum ‘Big Umbrella’,Big Umbrella Sweet-Scented Joe-Pye Weed,perennial ,https://mtcubacenter.org/plants/big-umbrella-sweet-scented-joe-pye-weed/,adaptable ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Eupatorium_Big_Umbrella_1.jpg,"Big Umbrella sweet-scented Joe-Pye weed is a robust summer-blooming perennial that is highly attractive to butterflies. It produces large pink flower clusters atop 5-6’ tall plants containing hundreds of tiny flowers. While naturally adapted to moist soils, it is quite adaptable to dry garden sites as well. This plant naturalizes nicely in meadows and woodland edges or can be used in the perennial border. ‘Big Umbrella’ combines nicely with grasses such as Schizachyrium scoparium and Andropogon virginicus as well as perennials such as Vernonia noveboracensis, Rudbeckia fulgida, Rudbeckia lacinata, Coreopsis tripteris, Helianthus angustifolius, and Solidago odora.","average, moist "
Viola pedata,Birdfoot Violet,perennial ,https://mtcubacenter.org/plants/birdfoot-violet/,acidic ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Viola_pedata_1.jpg,"Large striking flowers and distinctive finely divided foliage, resembling a bird’s foot, make this violet a delightful plant for the rocky, well drained garden. This 4-8” tall clumping perennial has showy 1-1½”, five-petaled flowers varying in color from white to pale blue and dark purple, sometimes bicolored with vivid orange stamens. Birdfoot violet will tolerate filtered shade but thrives in a sunny dry site with acidic soils. Sharp drainage is key to keeping this plant alive in the garden. It is a larval and nectar source for the regal fritillary butterfly. Birdfoot violet is a great plant for the rock garden as a companion for Aquilegia canadensis, Phlox nivalis, Bigelowia nuttallii, and Silene virginica.",dry 
Mitella diphylla,Bishop’s Cap,perennial ,https://mtcubacenter.org/plants/bishops-cap/,"acidic, adaptable ","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Mitella_diphylla_2.jpg,"The charm of bishop’s cap lies in its dainty white ¼” flowers with fringed petals held on 8-16” tall racemes above basal foliage reminiscent of maple leaves. The petite flowers are widely spaced and occur above a pair of opposite leaves on the flowering stalk. After flowering, each capsule splits to display shiny black seeds held in a tiny cup. Bishop’s cap flourishes in rich, moist to fairly dry organic soil in partially shady locations. Its rhizomatous growth makes it useful as a groundcover for small areas. Ideal companions include Maianthemum canadense, Actaea rubra, Uvularia perfoliata, Adiantum pedatum and Dryopteris hexagonoptera.","average, dry, moist "
Actaea racemosa,Black Bugbane,perennial ,https://mtcubacenter.org/plants/black-bugbane/,"acidic, adaptable ","filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Actaea_racemosa_1.jpg,"This robust woodland perennial provides a striking display of white flowers on 5-6’ tall spikes as the color of spring wildflowers fades. Its bold, vertical character provides a sharp contrast to the groundcover layer. Black bugbane also produces sharply divided foliage, making it an excellent plant for massing in the naturalistic garden. While it is shade and drought tolerant, black bugbane benefits from evenly moist and slightly acidic soils. It grows happily with a wide range of woodland plants including Caulophyllum thalictroides, Uvularia grandiflora, Polystichum acrostichoides, Lilium superbum, and Actaea pachypoda.","average, moist "
Viburnum prunifolium,Black Haw,"shrub, tree ",https://mtcubacenter.org/plants/black-haw/,adaptable ,"filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Viburnum_prunifolium_2.jpg,"Black haw is a large deciduous, multi-stemmed shrub or small tree and provides garden interest throughout the growing season. With age, Viburnum prunifolium develops a rounded to irregular arching habit, reaching 10-20’ tall. In spring, it produces large quantities of attractive creamy-white, flat-topped clusters of flowers followed by showy, bluish-black fruit in late summer. Black haw is an excellent specimen plant for the naturalistic garden or woodland edge. It tolerates filtered shade to sun and performs well in a wide range of soil moisture and pH conditions. Viburnum prunifolium is a good companion for Rhododendron periclymenoides, Kalmia latifolia, Cornus florida, Phlox stolonifera, and Packera aurea.","average, dry, moist "
Gaylussacia baccata,Black Huckleberry,shrub ,https://mtcubacenter.org/plants/black-huckleberry/,acidic ,"filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Gaylussacia_baccata_1.jpg,"Black huckleberry is a deciduous colonial shrub, spreading slowly to form an informal twiggy mass. It is an underused and under-appreciated shrub for the naturalistic garden. The erect stems of black huckleberry grow 2-3’ tall. In spring clusters of small bell-shaped pale pink to nearly red flowers are followed by blueberry-like fruit, ¼” in diameter. In autumn, foliage can become brilliant red. As a member of the Heath family it does best in well-drained dry, acidic soils. A few hours of sunlight each day makes for best growth and fall color. It makes an excellent companion with Vaccinium corymbosum, Rhododendron maximum, Kalmia latifolia, Pinus strobus, Gaultheria procumbens, Galax urceolata, and Goodyera repens.","average, dry "
Sanguinaria canadensis,Bloodroot,perennial ,https://mtcubacenter.org/plants/bloodroot/,"acidic, adaptable ","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Sanguinaria_canadensis_1.jpg,"Bloodroot is among the earliest spring wildflowers, bearing stark, many-petaled white flowers with yellow centers on 6? stalks as its bluish-green leaves emerge long before most other wildflowers begin to grow. This early blooming, rhizomatous perennial develops large masses, thriving in the thin leaf litter layer of deciduous woodlands. The orange-red sap exuded from cut stems or rhizomes of bloodroot serves as the inspiration for its common name. To extend its season of interest, combine bloodroot with Trillium flexipes, Hydrophyllum virginianum, Tiarella cordifolia, Polystichum acrostichoides, Thalictrum thalictroides, Enemion biternatum, and Actaea racemosa.","average, moist "
Caulophyllum thalictroides,Blue Cohosh,perennial ,https://mtcubacenter.org/plants/blue-cohosh/,"adaptable, alkaline ","partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Caulophyllum_thalictroides_1.jpg,"Blue cohosh is valued for its attractive bluish-green foliage and ornamental navy blue fruit rather than for its small greenish-yellow flowers. It is a refined plant, 1-3’ tall with stems originating from a branching rhizome and thrice-compound foliage comprised of lobed leaflets. The flowers are followed by attractive indigo blueberry-like fruits arranged in clusters. These persist and provide early autumn interest even after the foliage has declined. Plant in rich, moist, well-drained acid to neutral soil in light shade. Suitable companions include Arisaema triphyllum, Asarum canadense, Tiarella cordifolia and Trillium erectum.","average, moist "
Amsonia tabernaemontana,Blue Dogbane,perennial ,https://mtcubacenter.org/plants/blue-dogbane/,"adaptable, alkaline ","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Amsonia_tabernaemontana_1.jpg,"Blue dogbane adds a fine-textured element to the garden with its willow-like foliage, graceful stems, and charming blue star-shaped clusters of flowers during spring. It grows 2-3’ tall and performs well in full sun to partial shade and dry to moist soils. It is a low maintenance, long-lived plant that can be used in informal settings and perennial borders; it also makes a good cut flower. In the fall, golden-yellow foliage makes blue dogbane an excellent backdrop for other perennials. Blue dogbane is a nice companion with Symphyotrichum oblongifolium ‘Raydon’s Favorite’, Packera aurea, Baptisia cinerea, Baptisia ‘Carolina Moonlight’, Phlox pilosa, and Penstemon digitalis.","average, dry, moist "
Baptisia australis,Blue False Indigo,perennial ,https://mtcubacenter.org/plants/blue-false-indigo/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2017/05/052714_9582-960x700.jpg,"Blue false indigo is a beautiful, long-lived, drought tolerant perennial with a robust habit and attractive foliage. In late May, its intensely saturated violet-blue flower spikes rise above 3-4’ tall multi-stemmed plants with bluish-green foliage. Baptisia australis prefers full sun to part shade in moist, well-drained to dry, and low nutrient soils. However, in too much shade or high nutrient soils, this plant flops over. Blue false indigo makes a stunning statement in the perennial border or naturalized in meadows. Combine this plant with Schizachyrium scoparium, Andropogon virginicus, Packera anonyma, Phlox pilosa, Sisyrinchium angustifolium, and Penstemon digitalis.","average, dry "
Fothergilla gardenii ‘Blue Mist’,Blue Mist Dwarf Fothergilla,shrub ,https://mtcubacenter.org/plants/blue-mist-dwarf-fothergilla/,acidic ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Fothergilla_gardenii_Blue_Mist_1.jpg,"Blue Mist dwarf fothergilla is truly is a multi-season shrub for the garden. Delicate upright, white bottlebrush-like flowers with a luscious warm honey scent cover the shrub in spring. In summer, beautiful soft, blue-green leaves provide a striking contrast to other garden plants. In autumn, these leaves are transformed into a spectacular display of burgundies, crimsons, apricots, oranges and yellows. Blue Mist dwarf fothergilla grows 2-3’ tall and wide. Plant it in full to filtered shade in acid soils with Magnolia virginiana, Hydrangea quercifolia, Clethra alnifolia, Viburnum nudum, Aronia arbutifolia, Ilex glabra, and Amelanchier canadensis for seasons of interest.","average, moist "
Symphyotrichum laeve var. laeve ‘Bluebird’,Bluebird Smooth Aster,perennial ,https://mtcubacenter.org/plants/bluebird-smooth-aster/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Symphyotrichum_laeve_Bluebird_1.jpg,"A Mt. Cuba Center Plant Introduction. Ranked as the #1 aster in an evaluation study at Mt. Cuba Center, this herbaceous perennial produces abundant, violet blue flowers on 3-4’ tall stems as fall color begins in the surrounding forest. It has attractive, slightly glossy, bluish-green foliage that is virtually pest-free. Bluebird smooth aster thrives in full sun to light shade with a broad tolerance of soil types and moisture levels. It makes an excellent perennial border specimen, meadow component or used in mass plantings. Some good companions include Schizachyrium scoparium, Andropogon virginicus, Rudbeckia fulgida, Eutrochium purpureum ‘Big Umbrella’, Euthamia caroliniana, Solidago rugosa ‘Fireworks’, and Helianthus angustifolius.","average, dry, moist "
Solidago caesia,Blue-Stemmed Goldenrod,perennial ,https://mtcubacenter.org/plants/blue-stemmed-goldenrod/,adaptable ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Solidago_caesia_1.jpg,"Blue-stemmed goldenrod is a beautiful, easy to grow perennial that really shows off in shady as well as sunny areas. The 1-3’ tall garden plant has yellow clusters of flowers that bloom all along the purplish stem in early autumn. It does well in medium to dry, well drained soils and forms attractive open clumps without spreading aggressively. When planted in large numbers, the flowers form streaks of gold shooting off the stems. It performs well with Monarda didyma, Chrysogonum virginianum, Echinacea spp., and Andropogon gerardii.","average, dry "
Aesculus parviflora,Bottlebrush Buckeye,shrub ,https://mtcubacenter.org/plants/bottlebrush-buckeye/,adaptable ,"filtered-shade, full-sun, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Aesculus_parviflora_2.jpg,"Bottlebrush buckeye is a carefree multi-stemmed shrub with outstanding summer flowering appeal. Upright, 1? long, white bottlebrush-shaped flowering spikes adorn branch tips in the heat of summer, attracting butterflies and other pollinators. Bottlebrush buckeye grows 8-12? tall and wide with a uniformly horizontal oval habit. It tolerates sun to shade and adapts to a wide range of soil moisture and pH conditions. In autumn, bottlebrush buckeye produces stunning yellow fall foliage color. Use it in the shrub border or woodland beneath pines, oaks, maples and other large trees. It combines well with Illicium floridanum, Leucothoe fontanesiana, Rhododendron canescens, and Styrax grandifolius.","average, dry, moist "
Gillenia trifoliata,Bowman’s Root,perennial ,https://mtcubacenter.org/plants/bowmans-root/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Gillenia_trifoliata_1.jpg,"Imagine delicate wands of small white flowers floating in the late spring breeze and you can understand the informal, ethereal quality that Bowman’s root brings to the garden. This herbaceous perennial grows 2-3’ tall with an upright spreading habit. Green foliage and stems accentuate the panicles of 1” wide, star-like blooms. Gillenia trifoliata thrives in fertile, evenly-moist soil and grows equally well in part shade or full sun, although it prefers a little shade in the hottest part of the day. This is a wonderful plant to use in mass plantings or in the border with other natives such as Penstemon smallii, Penstemon calycosus, Sisyrinchium angustifolium, Lilium canadense, and Silene virginica.","average, moist "
Solidago flexicaulis,Broad-Leaf Goldenrod,perennial ,https://mtcubacenter.org/plants/broad-leaf-goldenrod/,adaptable ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Solidago_flexicaulis_2.jpg,"A truly shade tolerant goldenrod, Solidago flexicaulis is a good choice for the woodland garden, where its bright yellow flowers and vigorous, rhizomatous growth habit are an asset. The flower heads appear in late summer to early fall in narrow clusters at the tips of the stems and in the leaf axils. Easily recognized because of the zig-zag appearance of its stems and broadly oval, coarsely toothed leaves, it grows 1-3’ tall and prefers fertile, loamy, well-drained soil. Deadheading is recommended to prevent abundant self-seeding. Pair with Symphyotrichum cordifolium, Heuchera villosa, Aconitum uncinatum, and Chrysogonum virginianum for a stunning fall display.","average, dry, moist "
Andropogon virginicus,Broom Sedge,grasssedge ,https://mtcubacenter.org/plants/broom-sedge/,adaptable ,"full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Andropogon_virginicus1.jpg,"Broom sedge is a beautiful warm-season native grass worthy of greater garden use. Its upright stature and warm reddish-tan fall and winter color make for a wonderful contrast in the garden. Warm-season native grasses begin growing well into spring. It reaches 3-5’ tall. Broom sedge forms distinctive clumps and is adaptable to many soils. It prefers full sun but is more adaptable to partial shade than many warm-season native grasses. It grows well with other native grasses like Schizachyrium scoparium, Sporobolus heterolepis, and Muhlenberia capillaris, as well as many perennials such as Asclepias tuberosa, Rudbeckia fulgida, Helianthus angustifolius, and Vernonia glauca.","average, dry "
Hypericum densiflorum,Bushy St. John’s Wort,shrub ,https://mtcubacenter.org/plants/bushy-st-johns-wort/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Hypericum_densiflorum_1.jpg,"Hypericum densiflorum is a great summer blooming shrub with beautiful finely-textured foliage during the growing season. A profusion of bright yellow flowers appear in summer and are effective for a couple of weeks. In autumn the delicate foliage of bushy St. John’s wort becomes a golden yellow. Additionally, smooth, bronze bark becomes visible as the shrub grows to its mature height of 6’. Bushy St. John’s wort performs well in the mixed perennial border or rock garden. It tolerates sun to filtered shade and is adaptable to a range of soil moisture conditions. This species works well with Liatris spp., Silphium terebinthinaceum, Callicarpa americana, Opuntia humifusa, and Rhododendron spp.","average, dry "
Asclepias tuberosa,Butterfly Weed,perennial ,https://mtcubacenter.org/plants/butterfly-weed/,adaptable ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Asclepias_tuberosa_1.jpg,"Butterfly weed is a colorful, long-lived, drought tolerant perennial. Large clusters of bright orange to yellow-orange flowers top clumps of erect, hairy 1-2’ tall stems with lance-shaped leaves. The seed pods, with their long silky hairs, can be used in dried flower arrangements. Butterfly weed prefers well-drained neutral to alkaline soils and full sun. It is one of many Asclepias species, all of which are required food for monarch butterfly larvae. It is also a great nectar plant for other butterflies and insects. Butterfly weed works well in a meadow or a perennial garden setting with Andropogon virginicus, Schizachyrium scoparium, Echinacea purpurea, Coreopsis verticillata, and Solidago odora.","average, dry "
Eryngium yuccifolium,Button Snake-Root,perennial ,https://mtcubacenter.org/plants/button-snake-root/,adaptable ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Eryngium_yuccifolium_1.jpg,"The striking, creamy-white flower heads that resemble thistles and bluish-green sword-like foliage make button snake-root an excellent accent plant in the garden. In fact, the foliage looks very similar to the desert plant yucca. It is easily grown in full sun and adaptable to any soil type that is well-drained to dry. Allow the flower clusters, borne on 2-3’ stems, to remain on the plants until October, then collect them for dried arrangements. Or, use them in the garden for winter interest. As an essential element in a meadow garden, button snake-root can be grown with softer textured plants such as Muhlenbergia capillaris, Eragrostis spectabilis, Andropogon virginicus, Amsonia ciliata, and Symphyotrichum oblongifolium.","average, dry "
Hexastylis shuttleworthii var. harperi ‘Callaway’,Callaway Harper’s Heartleaf,perennial ,https://mtcubacenter.org/plants/callaway-harpers-heartleaf/,acidic ,shade ,https://mtcubacenter.org/wp-content/uploads/2016/06/Hexastylis_shuttleworthii_var_harperi_Callaway_1.jpg,"Hexastylis shuttleworthii var. harperi ‘Callaway’ makes an excellent, low-growing herbaceous focal point with its dark-green, heart-shaped mottled foliage and low spreading habit. Callaway Harper’s heartleaf features 2-3” wide evergreen leaves held 3-4” above the ground with unique, burgundy-colored, triangular-shaped flowers that bloom at ground level beneath the foliage in early summer. This evergreen herbaceous plant thrives in acidic, highly-organic rich soil that drains well yet is moisture retentive. Hexastylis shuttleworthii var. harperi ‘Callaway’ does well growing with plants such as Trillium luteum, Cymophyllus fraserianus, Mitchella repens, Chamaelirium luteum, Amianthium muscitoxicum, and Pieris floribunda.","average, moist "
